iter	Passed	Remaining
0	4	484
1	8	426
2	11	380
3	14	349
4	15	289
5	17	280
6	20	271
7	22	263
8	27	279
9	31	280
10	34	279
11	38	284
12	42	285
13	45	280
14	49	281
15	54	286
16	57	282
17	61	282
18	63	272
19	68	275
20	72	271
21	75	266
22	78	261
23	81	256
24	83	250
25	86	245
26	86	234
27	91	234
28	93	229
29	96	224
30	97	217
31	100	214
32	104	211
33	106	207
34	109	203
35	112	200
36	118	202
37	121	198
38	124	194
39	128	192
40	131	188
41	133	184
42	136	180
43	139	177
44	142	173
45	144	170
46	147	166
47	150	162
48	152	159
49	155	155
50	158	152
51	160	148
52	163	145
53	166	142
54	169	138
55	172	135
56	175	132
57	178	128
58	180	125
59	183	122
60	185	118
61	188	115
62	191	112
63	194	109
64	197	106
65	199	103
66	203	100
67	206	97
68	208	93
69	211	90
70	215	87
71	222	86
72	225	83
73	229	80
74	232	77
75	234	74
76	237	70
77	241	68
78	244	65
79	247	61
80	250	58
81	253	55
82	256	52
83	259	49
84	261	46
85	264	43
86	267	39
87	267	36
88	269	33
89	271	30
90	274	27
91	277	24
92	281	21
93	283	18
94	286	15
95	289	12
96	293	9
97	296	6
98	299	3
99	301	0
